"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"14.04.2022","0,8465","0,7725","0,8505","0,7480","9,23%"
"13.04.2022","0,7750","0,7980","0,8610","0,7580","-1,90%"
"12.04.2022","0,7900","0,8250","0,8790","0,7670","-2,83%"
"11.04.2022","0,8130","0,7070","0,8220","0,7070","14,51%"
"08.04.2022","0,7100","0,6750","0,7280","0,6550","4,41%"
"07.04.2022","0,6800","0,6510","0,7220","0,6130","4,94%"
"06.04.2022","0,6480","0,6350","0,6840","0,6190","6,23%"
"05.04.2022","0,6100","0,5290","0,6280","0,5160","17,99%"
"04.04.2022","0,5170","0,5810","0,5860","0,4730","-8,66%"
"01.04.2022","0,5660","0,5800","0,6260","0,5580","3,47%"
"31.03.2022","0,5470","0,6650","0,6710","0,5250","-16,87%"
"30.03.2022","0,6580","0,6240","0,7200","0,6130","2,65%"
"29.03.2022","0,6410","0,6050","0,7410","0,5950","10,14%"
"28.03.2022","0,5820","0,6070","0,6310","0,5560","2,11%"
"25.03.2022","0,5700","0,5250","0,5860","0,4930","8,37%"
"24.03.2022","0,5260","0,4660","0,5550","0,4440","9,81%"
"23.03.2022","0,4790","0,5160","0,5230","0,4640","-5,15%"
"22.03.2022","0,5050","0,4780","0,5300","0,4670","10,02%"
"21.03.2022","0,4590","0,3720","0,4650","0,3720","25,07%"
"18.03.2022","0,3670","0,3990","0,4080","0,3370","-5,41%"
"17.03.2022","0,3880","0,4000","0,4100","0,3520","-1,27%"
"16.03.2022","0,3930","0,3310","0,4030","0,3310","18,73%"
"15.03.2022","0,3310","0,3690","0,3700","0,3150","-11,26%"
"14.03.2022","0,3730","0,2720","0,3790","0,2650","38,15%"
"11.03.2022","0,2700","0,2720","0,3160","0,2470","0,00%"
"10.03.2022","0,2700","0,2090","0,3040","0,1510","41,36%"
"09.03.2022","0,1910","0,1120","0,2150","0,0900","78,50%"
"08.03.2022","0,1070","-0,0240","0,1380","-0,0380","-923,08%"
"07.03.2022","-0,0130","-0,0680","0,0001","-0,1010","-87,13%"
"04.03.2022","-0,1010","0,0110","0,0170","-0,1090","-559,09%"
"03.03.2022","0,0220","0,0140","0,0770","-0,0020","120,00%"
"02.03.2022","0,0100","-0,0680","0,0230","-0,0800","-114,49%"
"01.03.2022","-0,0690","0,1320","0,1430","-0,0720","-143,40%"
"28.02.2022","0,1590","0,1670","0,2130","0,1530","-29,02%"
"25.02.2022","0,2240","0,1700","0,2350","0,1450","30,99%"
"24.02.2022","0,1710","0,2230","0,2230","0,1110","-24,00%"
"23.02.2022","0,2250","0,2330","0,2660","0,2160","-7,41%"
"22.02.2022","0,2430","0,1460","0,2800","0,1460","21,50%"
"21.02.2022","0,2000","0,2010","0,2370","0,1740","-2,44%"
"18.02.2022","0,2050","0,2320","0,2480","0,1960","-12,02%"
"17.02.2022","0,2330","0,2540","0,2790","0,2260","-14,34%"
"16.02.2022","0,2720","0,3140","0,3310","0,2590","-12,54%"
"15.02.2022","0,3110","0,2580","0,3260","0,2520","13,92%"
"14.02.2022","0,2730","0,2400","0,2740","0,1900","-6,51%"
"11.02.2022","0,2920","0,2990","0,3010","0,2490","0,00%"
"10.02.2022","0,2920","0,2300","0,2950","0,2120","32,73%"
"09.02.2022","0,2200","0,2650","0,2670","0,2090","-16,67%"
"08.02.2022","0,2640","0,2430","0,2750","0,2030","17,86%"
"07.02.2022","0,2240","0,1870","0,2500","0,1830","7,69%"
"04.02.2022","0,2080","0,1420","0,2290","0,1410","34,19%"
"03.02.2022","0,1550","0,0350","0,1590","0,0320","342,86%"
"02.02.2022","0,0350","0,0290","0,0580","0,0090","-5,41%"
"01.02.2022","0,0370","0,0110","0,0440","-0,0150","164,29%"
"31.01.2022","0,0140","-0,0320","0,0320","-0,0400","-129,79%"
"28.01.2022","-0,0470","-0,0490","-0,0080","-0,0570","-17,54%"
"27.01.2022","-0,0570","-0,0600","-0,0230","-0,0600","-19,72%"
"26.01.2022","-0,0710","-0,0780","-0,0620","-0,0820","-12,35%"
"25.01.2022","-0,0810","-0,1070","-0,0660","-0,1070","-17,35%"
"24.01.2022","-0,0980","-0,0650","-0,0600","-0,1100","46,27%"
"22.01.2022","-0,0670","-0,0670","-0,0670","-0,0670","11,67%"
"21.01.2022","-0,0600","-0,0340","-0,0340","-0,0870","122,22%"
"20.01.2022","-0,0270","0,0030","0,0080","-0,0410","200,00%"
"19.01.2022","-0,0090","0,0040","0,0250","-0,0130","-50,00%"
"18.01.2022","-0,0180","-0,0160","-0,0020","-0,0310","-30,77%"
"17.01.2022","-0,0260","-0,0460","-0,0200","-0,0460","-46,94%"
"14.01.2022","-0,0490","-0,0880","-0,0470","-0,1050","-43,02%"
"13.01.2022","-0,0860","-0,0470","-0,0340","-0,0990","50,88%"
"12.01.2022","-0,0570","-0,0380","-0,0260","-0,0770","78,12%"
"11.01.2022","-0,0320","-0,0400","-0,0140","-0,0550","-11,11%"
"10.01.2022","-0,0360","-0,0380","-0,0250","-0,0560","24,14%"
"07.01.2022","-0,0290","-0,0570","-0,0290","-0,0670","-57,35%"
"06.01.2022","-0,0680","-0,0650","-0,0310","-0,0720","-45,16%"
"05.01.2022","-0,1240","-0,1220","-0,1140","-0,1380","-3,13%"
"04.01.2022","-0,1280","-0,1200","-0,1160","-0,1550","3,23%"
"03.01.2022","-0,1240","-0,1770","-0,1230","-0,1850","-30,73%"
"31.12.2021","-0,1790","-0,1790","-0,1790","-0,1790","1,70%"
"30.12.2021","-0,1760","-0,1800","-0,1710","-0,2050","-2,22%"
"29.12.2021","-0,1800","-0,2400","-0,1790","-0,2440","-24,69%"
"28.12.2021","-0,2390","-0,2410","-0,2210","-0,2490","-2,05%"
"27.12.2021","-0,2440","-0,2540","-0,2220","-0,2570","-2,79%"
"24.12.2021","-0,2510","-0,2510","-0,2510","-0,2510","-0,40%"
"23.12.2021","-0,2520","-0,2850","-0,2350","-0,2930","-13,99%"
"22.12.2021","-0,2930","-0,3100","-0,2680","-0,3140","-3,30%"
"21.12.2021","-0,3030","-0,3690","-0,2990","-0,3730","-17,21%"
"20.12.2021","-0,3660","-0,3780","-0,3520","-0,4020","-2,40%"
"17.12.2021","-0,3750","-0,3510","-0,3470","-0,3860","8,38%"
"16.12.2021","-0,3460","-0,3620","-0,3090","-0,3710","-4,42%"
"15.12.2021","-0,3620","-0,3680","-0,3430","-0,3770","-0,28%"
"14.12.2021","-0,3630","-0,3800","-0,3500","-0,3840","-4,47%"
"13.12.2021","-0,3800","-0,3450","-0,3390","-0,3850","8,57%"
"10.12.2021","-0,3500","-0,3550","-0,3280","-0,3590","-0,28%"
"09.12.2021","-0,3510","-0,3170","-0,3130","-0,3640","13,59%"
"08.12.2021","-0,3090","-0,3720","-0,3060","-0,4090","-17,60%"
"07.12.2021","-0,3750","-0,3560","-0,3480","-0,3840","-3,10%"
"06.12.2021","-0,3870","-0,3900","-0,3660","-0,3940","2,38%"
"03.12.2021","-0,3780","-0,3730","-0,3510","-0,3870","1,34%"
"02.12.2021","-0,3730","-0,3460","-0,3330","-0,3940","12,69%"
"01.12.2021","-0,3310","-0,3490","-0,2990","-0,3500","-3,50%"
"30.11.2021","-0,3430","-0,3170","-0,3170","-0,3630","6,19%"
"29.11.2021","-0,3230","-0,3360","-0,2940","-0,3410","-5,42%"
"27.11.2021","-0,3415","-0,3415","-0,3415","-0,3415","1,04%"
"26.11.2021","-0,3380","-0,2490","-0,2490","-0,3430","37,40%"
